
Processing CalculateEfficincy.C...
Particle             :    Eff 4pi  /  Eff accept /   Eff KFPF  /      Ghost  /     BackGr  /    N Ghost  /   N BackGr  /     N Reco  /    N Clone  |   N MC 4pi  | N MC accept |  N MC KFPF 
K*0 b          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K*+                  :      0.288  /     -1.000  /      0.557  /      0.006  /      0.098  /          1  /         17  /        156  /          3  |        541  |          0  |        280
K*+            Prim  :      0.288  /     -1.000  /      0.557  /      0.000  /      0.000  /          0  /          0  /        156  /          3  |        541  |          0  |        280
K*+            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K*-                  :      0.279  /     -1.000  /      0.543  /      0.022  /      0.100  /          4  /         18  /        158  /          2  |        567  |          0  |        291
K*-            Prim  :      0.279  /     -1.000  /      0.543  /      0.000  /      0.000  /          0  /          0  /        158  /          2  |        567  |          0  |        291
K*-            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K*0_K0pi0            :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         17  |          0  |          0
K*0_K0pi0      Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         17  |          0  |          0
K*0_K0pi0      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K*+_K+pi0            :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         21  |          0  |          0
K*+_K+pi0      Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         21  |          0  |          0
K*+_K+pi0      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K*-_K-pi0            :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          9  |          0  |          0
K*-_K-pi0      Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          9  |          0  |          0
K*-_K-pi0      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma*+              :      0.254  /     -1.000  /      0.531  /      0.242  /      0.000  /         44  /          0  /        138  /          2  |        544  |          0  |        260
Sigma*+        Prim  :      0.254  /     -1.000  /      0.531  /      0.000  /      0.000  /          0  /          0  /        138  /          2  |        544  |          0  |        260
Sigma*+        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma*-              :      0.235  /     -1.000  /      0.512  /      0.012  /      0.461  /          3  /        112  /        128  /          1  |        545  |          0  |        250
Sigma*-        Prim  :      0.235  /     -1.000  /      0.512  /      0.000  /      0.000  /          0  /          0  /        128  /          1  |        545  |          0  |        250
Sigma*-        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
