
Processing CalculateEfficincy.C...
Particle             :    Eff 4pi  /  Eff accept /   Eff KFPF  /      Ghost  /     BackGr  /    N Ghost  /   N BackGr  /     N Reco  /    N Clone  |   N MC 4pi  | N MC accept |  N MC KFPF 
D*+                  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*+            Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*+            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*-                  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*-            Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*-            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*+_4                :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*+_4          Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*+_4          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*-_4                :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*-_4          Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*-_4          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0*_#pi0             :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0*_#pi0       Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0*_#pi0       Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
H0                   :      0.078  /     -1.000  /      0.232  /      0.045  /      0.000  /          2  /          0  /         42  /          0  |        538  |          0  |        181
H0             Prim  :      0.078  /     -1.000  /      0.232  /      0.000  /      0.000  /          0  /          0  /         42  /          0  |        538  |          0  |        181
H0             Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
LambdaN              :      0.265  /     -1.000  /      0.429  /      0.000  /      0.000  /          0  /          0  /        225  /          0  |        850  |          0  |        525
LambdaN        Prim  :      0.265  /     -1.000  /      0.429  /      0.000  /      0.000  /          0  /          0  /        225  /          0  |        850  |          0  |        525
LambdaN        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
LambdaN b            :      0.272  /     -1.000  /      0.429  /      0.000  /      0.000  /          0  /          0  /        233  /          0  |        858  |          0  |        543
LambdaN b      Prim  :      0.272  /     -1.000  /      0.429  /      0.000  /      0.000  /          0  /          0  /        233  /          0  |        858  |          0  |        543
LambdaN b      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
LambdaNN             :      0.204  /     -1.000  /      0.345  /      0.000  /      0.006  /          0  /          1  /        155  /          0  |        761  |          0  |        449
LambdaNN       Prim  :      0.204  /     -1.000  /      0.345  /      0.000  /      0.000  /          0  /          0  /        155  /          0  |        761  |          0  |        449
LambdaNN       Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
LambdaNN b           :      0.187  /     -1.000  /      0.336  /      0.000  /      0.000  /          0  /          0  /        146  /          1  |        781  |          0  |        434
LambdaNN b     Prim  :      0.187  /     -1.000  /      0.336  /      0.000  /      0.000  /          0  /          0  /        146  /          1  |        781  |          0  |        434
LambdaNN b     Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
H3L                  :      0.209  /     -1.000  /      0.487  /      0.237  /      0.296  /        263  /        329  /        519  /          3  |       2484  |          0  |       1066
H3L            Prim  :      0.196  /     -1.000  /      0.402  /      0.000  /      0.000  /          0  /          0  /        167  /          0  |        854  |          0  |        415
H3L            Sec   :      0.216  /     -1.000  /      0.541  /      0.000  /      0.000  /          0  /          0  /        352  /          3  |       1630  |          0  |        651
H3L b                :      0.180  /     -1.000  /      0.379  /      0.000  /      0.485  /          0  /        145  /        154  /          0  |        855  |          0  |        406
H3L b          Prim  :      0.180  /     -1.000  /      0.379  /      0.000  /      0.000  /          0  /          0  /        154  /          0  |        855  |          0  |        406
H3L b          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
H4L                  :      0.170  /     -1.000  /      0.396  /      0.197  /      0.614  /        138  /        430  /        132  /          0  |        776  |          0  |        333
H4L            Prim  :      0.170  /     -1.000  /      0.396  /      0.000  /      0.000  /          0  /          0  /        132  /          0  |        776  |          0  |        333
H4L            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
H4L b                :      0.175  /     -1.000  /      0.399  /      0.000  /      0.485  /          0  /        128  /        136  /          0  |        779  |          0  |        341
H4L b          Prim  :      0.175  /     -1.000  /      0.399  /      0.000  /      0.000  /          0  /          0  /        136  /          0  |        779  |          0  |        341
H4L b          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
He4L                 :      0.166  /     -1.000  /      0.441  /      0.161  /      0.006  /         51  /          2  /        263  /          1  |       1588  |          0  |        597
He4L           Prim  :      0.140  /     -1.000  /      0.340  /      0.000  /      0.000  /          0  /          0  /        112  /          1  |        801  |          0  |        329
He4L           Sec   :      0.192  /     -1.000  /      0.563  /      0.000  /      0.000  /          0  /          0  /        151  /          0  |        787  |          0  |        268
He4L b               :      0.135  /     -1.000  /      0.323  /      0.000  /      0.000  /          0  /          0  /        111  /          1  |        821  |          0  |        344
He4L b         Prim  :      0.135  /     -1.000  /      0.323  /      0.000  /      0.000  /          0  /          0  /        111  /          1  |        821  |          0  |        344
He4L b         Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
He5L                 :      0.146  /     -1.000  /      0.446  /      0.125  /      0.005  /         46  /          2  /        319  /          0  |       2185  |          0  |        716
He5L           Prim  :      0.117  /     -1.000  /      0.326  /      0.000  /      0.000  /          0  /          0  /         89  /          0  |        760  |          0  |        273
He5L           Sec   :      0.161  /     -1.000  /      0.519  /      0.000  /      0.000  /          0  /          0  /        230  /          0  |       1425  |          0  |        443
He5L b               :      0.125  /     -1.000  /      0.349  /      0.000  /      0.000  /          0  /          0  /         95  /          0  |        758  |          0  |        272
He5L b         Prim  :      0.125  /     -1.000  /      0.349  /      0.000  /      0.000  /          0  /          0  /         95  /          0  |        758  |          0  |        272
He5L b         Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
LLn                  :      0.104  /     -1.000  /      0.332  /      0.359  /      0.348  /        104  /        101  /         85  /          1  |        817  |          0  |        256
LLn            Prim  :      0.104  /     -1.000  /      0.332  /      0.000  /      0.000  /          0  /          0  /         85  /          1  |        817  |          0  |        256
LLn            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
H4LL_{He4Lpi-}       :      0.059  /     -1.000  /      0.224  /      0.193  /      0.000  /         11  /          0  /         46  /          0  |        774  |          0  |        205
H4LL_{He4Lpi-} Prim  :      0.059  /     -1.000  /      0.224  /      0.000  /      0.000  /          0  /          0  /         46  /          0  |        774  |          0  |        205
H4LL_{He4Lpi-} Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
H4LL_{H3Lppi-}       :      0.045  /     -1.000  /      0.187  /      0.300  /      0.000  /         15  /          0  /         35  /          0  |        777  |          0  |        187
H4LL_{H3Lppi-} Prim  :      0.045  /     -1.000  /      0.187  /      0.000  /      0.000  /          0  /          0  /         35  /          0  |        777  |          0  |        187
H4LL_{H3Lppi-} Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
H5LL_{He5Lpi-}       :      0.042  /     -1.000  /      0.182  /      0.082  /      0.443  /          5  /         27  /         29  /          0  |        698  |          0  |        159
H5LL_{He5Lpi-} Prim  :      0.042  /     -1.000  /      0.182  /      0.000  /      0.000  /          0  /          0  /         29  /          0  |        698  |          0  |        159
H5LL_{He5Lpi-} Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
He6LL                :      0.033  /     -1.000  /      0.172  /      0.343  /      0.000  /         12  /          0  /         23  /          0  |        690  |          0  |        134
He6LL          Prim  :      0.033  /     -1.000  /      0.172  /      0.000  /      0.000  /          0  /          0  /         23  /          0  |        690  |          0  |        134
He6LL          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
pi-_{mnu}            :      0.001  /     -1.000  /      0.391  /      0.037  /      0.630  /          1  /         17  /          9  /          0  |       6818  |          0  |         23
pi-_{mnu}      Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
pi-_{mnu}      Sec   :      0.001  /     -1.000  /      0.391  /      0.000  /      0.000  /          0  /          0  /          9  /          0  |       6818  |          0  |         23
nu_{mupi-} b         :      0.001  /     -1.000  /      0.391  /      0.037  /      0.630  /          1  /         17  /          9  /          0  |       6818  |          0  |         23
nu_{mupi-} b   Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
nu_{mupi-} b   Sec   :      0.001  /     -1.000  /      0.391  /      0.000  /      0.000  /          0  /          0  /          9  /          0  |       6818  |          0  |         23
pi+_{mnu}            :      0.002  /     -1.000  /      0.355  /      0.000  /      0.560  /          0  /         14  /         11  /          0  |       5885  |          0  |         31
pi+_{mnu}      Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
pi+_{mnu}      Sec   :      0.002  /     -1.000  /      0.355  /      0.000  /      0.000  /          0  /          0  /         11  /          0  |       5885  |          0  |         31
nu_{mupi+}           :      0.002  /     -1.000  /      0.355  /      0.000  /      0.560  /          0  /         14  /         11  /          0  |       5885  |          0  |         31
nu_{mupi+}     Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
nu_{mupi+}     Sec   :      0.002  /     -1.000  /      0.355  /      0.000  /      0.000  /          0  /          0  /         11  /          0  |       5885  |          0  |         31
K-_{mnu}             :      0.007  /     -1.000  /      0.415  /      0.037  /      0.333  /          1  /          9  /         17  /          0  |       2303  |          0  |         41
K-_{mnu}       Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K-_{mnu}       Sec   :      0.007  /     -1.000  /      0.415  /      0.000  /      0.000  /          0  /          0  /         17  /          0  |       2303  |          0  |         41
nu_{K-} b            :      0.007  /     -1.000  /      0.415  /      0.037  /      0.333  /          1  /          9  /         17  /          0  |       2303  |          0  |         41
nu_{K-} b      Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
nu_{K-} b      Sec   :      0.007  /     -1.000  /      0.415  /      0.000  /      0.000  /          0  /          0  /         17  /          0  |       2303  |          0  |         41
K+_{mnu}             :      0.006  /     -1.000  /      0.378  /      0.000  /      0.440  /          0  /         11  /         14  /          0  |       2318  |          0  |         37
K+_{mnu}       Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K+_{mnu}       Sec   :      0.006  /     -1.000  /      0.378  /      0.000  /      0.000  /          0  /          0  /         14  /          0  |       2318  |          0  |         37
nu_{K+}              :      0.006  /     -1.000  /      0.378  /      0.000  /      0.440  /          0  /         11  /         14  /          0  |       2318  |          0  |         37
nu_{K+}        Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
nu_{K+}        Sec   :      0.006  /     -1.000  /      0.378  /      0.000  /      0.000  /          0  /          0  /         14  /          0  |       2318  |          0  |         37
Sigma-_{pi-n}        :      0.000  /     -1.000  /     -1.000  /      0.422  /      0.578  /         38  /         52  /          0  /          0  |          3  |          0  |          0
Sigma-_{pi-n}  Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma-_{pi-n}  Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          3  |          0  |          0
n_{Sigma-}           :      0.000  /     -1.000  /     -1.000  /      0.422  /      0.578  /         38  /         52  /          0  /          0  |          3  |          0  |          0
n_{Sigma-}     Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
n_{Sigma-}     Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          3  |          0  |          0
Sigma+{pi+n} b       :      0.000  /     -1.000  /     -1.000  /      0.417  /      0.583  /         43  /         60  /          0  /          0  |          2  |          0  |          0
Sigma+{pi+n} b Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma+{pi+n} b Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          2  |          0  |          0
n_{Sigma+b} b        :      0.000  /     -1.000  /     -1.000  /      0.417  /      0.583  /         43  /         60  /          0  /          0  |          2  |          0  |          0
n_{Sigma+b} b  Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
n_{Sigma+b} b  Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          2  |          0  |          0
Sigma+{pi-n} b       :      0.000  /     -1.000  /     -1.000  /      0.422  /      0.578  /         38  /         52  /          0  /          0  |          1  |          0  |          0
Sigma+{pi-n} b Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma+{pi-n} b Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          1  |          0  |          0
n_{Sigma-_b} b       :      0.000  /     -1.000  /     -1.000  /      0.422  /      0.578  /         38  /         52  /          0  /          0  |          1  |          0  |          0
n_{Sigma-_b} b Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
n_{Sigma-_b} b Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          1  |          0  |          0
Sigma+_{pi+n}        :      0.000  /     -1.000  /     -1.000  /      0.417  /      0.583  /         43  /         60  /          0  /          0  |          1  |          0  |          0
Sigma+_{pi+n}  Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma+_{pi+n}  Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          1  |          0  |          0
n_{Sigma+}           :      0.000  /     -1.000  /     -1.000  /      0.417  /      0.583  /         43  /         60  /          0  /          0  |          1  |          0  |          0
n_{Sigma+}     Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
n_{Sigma+}     Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          1  |          0  |          0
Xi-_{pi-L}           :      0.014  /     -1.000  /      0.746  /      0.422  /      0.022  /         38  /          2  /         50  /          0  |       3658  |          0  |         67
Xi-_{pi-L}     Prim  :      0.018  /     -1.000  /      0.867  /      0.000  /      0.000  /          0  /          0  /         13  /          0  |        723  |          0  |         15
Xi-_{pi-L}     Sec   :      0.013  /     -1.000  /      0.712  /      0.000  /      0.000  /          0  /          0  /         37  /          0  |       2935  |          0  |         52
Lambda_{Xi-}         :      0.014  /     -1.000  /      0.746  /      0.422  /      0.022  /         38  /          2  /         50  /          0  |       3658  |          0  |         67
Lambda_{Xi-}   Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Lambda_{Xi-}   Sec   :      0.014  /     -1.000  /      0.746  /      0.000  /      0.000  /          0  /          0  /         50  /          0  |       3658  |          0  |         67
Xi+_{pi+L_b}         :      0.016  /     -1.000  /      0.829  /      0.417  /      0.019  /         43  /          2  /         58  /          0  |       3677  |          0  |         70
Xi+_{pi+L_b}   Prim  :      0.014  /     -1.000  /      0.769  /      0.000  /      0.000  /          0  /          0  /         10  /          0  |        710  |          0  |         13
Xi+_{pi+L_b}   Sec   :      0.016  /     -1.000  /      0.842  /      0.000  /      0.000  /          0  /          0  /         48  /          0  |       2967  |          0  |         57
Lambda_{Xi+} b       :      0.016  /     -1.000  /      0.829  /      0.417  /      0.019  /         43  /          2  /         58  /          0  |       3677  |          0  |         70
Lambda_{Xi+} b Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Lambda_{Xi+} b Sec   :      0.016  /     -1.000  /      0.829  /      0.000  /      0.000  /          0  /          0  /         58  /          0  |       3677  |          0  |         70
Omega-{pi-Xi0}       :      0.005  /     -1.000  /      1.000  /      0.422  /      0.567  /         38  /         51  /          1  /          0  |        189  |          0  |          1
Omega-{pi-Xi0} Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Omega-{pi-Xi0} Sec   :      0.005  /     -1.000  /      1.000  /      0.000  /      0.000  /          0  /          0  /          1  /          0  |        189  |          0  |          1
Xi0_{Omega-}         :      0.005  /     -1.000  /      1.000  /      0.422  /      0.567  /         38  /         51  /          1  /          0  |        189  |          0  |          1
Xi0_{Omega-}   Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Xi0_{Omega-}   Sec   :      0.005  /     -1.000  /      1.000  /      0.000  /      0.000  /          0  /          0  /          1  /          0  |        189  |          0  |          1
Omega+_{Xipi0}       :      0.000  /     -1.000  /     -1.000  /      0.417  /      0.583  /         43  /         60  /          0  /          0  |        157  |          0  |          0
Omega+_{Xipi0} Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Omega+_{Xipi0} Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        157  |          0  |          0
Xi0_{Omega+} b       :      0.000  /     -1.000  /     -1.000  /      0.417  /      0.583  /         43  /         60  /          0  /          0  |        157  |          0  |          0
Xi0_{Omega+} b Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Xi0_{Omega+} b Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        157  |          0  |          0
K-_{pi-pi0}          :      0.005  /     -1.000  /      0.500  /      0.422  /      0.567  /         38  /         51  /          1  /          0  |        191  |          0  |          2
K-_{pi-pi0}    Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K-_{pi-pi0}    Sec   :      0.005  /     -1.000  /      0.500  /      0.000  /      0.000  /          0  /          0  /          1  /          0  |        191  |          0  |          2
pi0_{K-}             :      0.005  /     -1.000  /      0.500  /      0.422  /      0.567  /         38  /         51  /          1  /          0  |        191  |          0  |          2
pi0_{K-}       Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
pi0_{K-}       Sec   :      0.005  /     -1.000  /      0.500  /      0.000  /      0.000  /          0  /          0  /          1  /          0  |        191  |          0  |          2
K+_{pi+pi0}          :      0.011  /     -1.000  /      0.500  /      0.417  /      0.563  /         43  /         58  /          2  /          0  |        180  |          0  |          4
K+_{pi+pi0}    Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K+_{pi+pi0}    Sec   :      0.011  /     -1.000  /      0.500  /      0.000  /      0.000  /          0  /          0  /          2  /          0  |        180  |          0  |          4
pi0_{K+}             :      0.011  /     -1.000  /      0.500  /      0.417  /      0.563  /         43  /         58  /          2  /          0  |        180  |          0  |          4
pi0_{K+}       Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
pi0_{K+}       Sec   :      0.011  /     -1.000  /      0.500  /      0.000  /      0.000  /          0  /          0  /          2  /          0  |        180  |          0  |          4
Omega-_{K-L}         :      0.005  /     -1.000  /      0.857  /      0.500  /      0.000  /          6  /          0  /          6  /          0  |       1198  |          0  |          7
Omega-_{K-L}   Prim  :      0.006  /     -1.000  /      1.000  /      0.000  /      0.000  /          0  /          0  /          4  /          0  |        716  |          0  |          4
Omega-_{K-L}   Sec   :      0.004  /     -1.000  /      0.667  /      0.000  /      0.000  /          0  /          0  /          2  /          0  |        482  |          0  |          3
Lambda_{O-}          :      0.005  /     -1.000  /      0.857  /      0.500  /      0.000  /          6  /          0  /          6  /          0  |       1198  |          0  |          7
Lambda_{O-}    Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Lambda_{O-}    Sec   :      0.005  /     -1.000  /      0.857  /      0.000  /      0.000  /          0  /          0  /          6  /          0  |       1198  |          0  |          7
Omega+_{K+Lb}        :      0.007  /     -1.000  /      0.900  /      0.591  /      0.000  /         13  /          0  /          9  /          0  |       1219  |          0  |         10
Omega+_{K+Lb}  Prim  :      0.004  /     -1.000  /      0.750  /      0.000  /      0.000  /          0  /          0  /          3  /          0  |        728  |          0  |          4
Omega+_{K+Lb}  Sec   :      0.012  /     -1.000  /      1.000  /      0.000  /      0.000  /          0  /          0  /          6  /          0  |        491  |          0  |          6
Lambda_{O+} b        :      0.007  /     -1.000  /      0.900  /      0.591  /      0.000  /         13  /          0  /          9  /          0  |       1219  |          0  |         10
Lambda_{O+} b  Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Lambda_{O+} b  Sec   :      0.007  /     -1.000  /      0.900  /      0.000  /      0.000  /          0  /          0  /          9  /          0  |       1219  |          0  |         10
Sigma-{ppi0} b       :      0.011  /     -1.000  /      1.000  /      0.864  /      0.000  /         19  /          0  /          3  /          0  |        265  |          0  |          3
Sigma-{ppi0} b Prim  :      0.012  /     -1.000  /      1.000  /      0.000  /      0.000  /          0  /          0  /          3  /          0  |        259  |          0  |          3
Sigma-{ppi0} b Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          6  |          0  |          0
pi0_{Sigma-_b}       :      0.011  /     -1.000  /      1.000  /      0.864  /      0.000  /         19  /          0  /          3  /          0  |        265  |          0  |          3
pi0_{Sigma-_b} Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
pi0_{Sigma-_b} Sec   :      0.011  /     -1.000  /      1.000  /      0.000  /      0.000  /          0  /          0  /          3  /          0  |        265  |          0  |          3
Sigma+_{ppi0}        :      0.000  /     -1.000  /     -1.000  /      1.000  /      0.000  /         41  /          0  /          0  /          0  |        278  |          0  |          0
Sigma+_{ppi0}  Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        266  |          0  |          0
Sigma+_{ppi0}  Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         12  |          0  |          0
pi0_{Sigma+}         :      0.000  /     -1.000  /     -1.000  /      1.000  /      0.000  /         41  /          0  /          0  /          0  |        278  |          0  |          0
pi0_{Sigma+}   Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
pi0_{Sigma+}   Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        278  |          0  |          0
e-                   :      0.033  /     -1.000  /      0.994  /      0.000  /      0.000  /          0  /          0  /       2149  /         30  |      64545  |          0  |       2163
e-             Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
e-             Sec   :      0.033  /     -1.000  /      0.994  /      0.000  /      0.000  /          0  /          0  /       2149  /         30  |      64545  |          0  |       2163
e+                   :      0.122  /     -1.000  /      0.993  /      0.000  /      0.000  /          0  /          0  /       2122  /         29  |      17463  |          0  |       2136
e+             Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
e+             Sec   :      0.122  /     -1.000  /      0.993  /      0.000  /      0.000  /          0  /          0  /       2122  /         29  |      17463  |          0  |       2136
mu-                  :      0.182  /     -1.000  /      0.991  /      0.000  /      0.000  /          0  /          0  /       1978  /         20  |      10896  |          0  |       1995
mu-            Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
mu-            Sec   :      0.182  /     -1.000  /      0.991  /      0.000  /      0.000  /          0  /          0  /       1978  /         20  |      10896  |          0  |       1995
mu+                  :      0.190  /     -1.000  /      0.991  /      0.000  /      0.000  /          0  /          0  /       1898  /          7  |       9973  |          0  |       1915
mu+            Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
mu+            Sec   :      0.190  /     -1.000  /      0.991  /      0.000  /      0.000  /          0  /          0  /       1898  /          7  |       9973  |          0  |       1915
pi+                  :      0.482  /     -1.000  /      0.995  /      0.000  /      0.000  /          0  /          0  /      23024  /        195  |      47748  |          0  |      23136
